Sucursal,NombreSucursal,SucursalCP,Delegacion,STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SCORE_CLIENTE,SUMA_SALDOS_TOTAL,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Aprobada,Aprobado,BUENO,50000,54000,-0.08,56516,10000,Bajo,1.08,186,0,54,Renta,Posgrado
398,DIAMANTE SANTA FE,5100,Cuajimalpa de Morelos,Aprobada,Aprobado,BUENO,2999,2219,0.26,71311,0,Bajo,0.74,229,8478,54,Hipoteca,Posgrado
68,PLAZA CASCADA,9450,Iztapalapa,Aprobada,Aprobado,BUENO,1999,1579,0.21,71625,0,Bajo,0.79,236,0,54,Renta,Posgrado
50,INSURGENTES TLALPAN,14000,Tlalpan,Aprobada,Aprobado,REGULAR,45000,11700,0.74,84375,0,Mínimo,0.26,241,0,54,Familiares,Posgrado
223,LAGO ALBERTO,11320,Miguel Hidalgo,Aprobada,Aprobado,REGULAR,49999,18000,0.64,83434,50000,Bajo,0.36,251,32047,54,Propia,Preparatoria
7576,INSURGENTES NOCHE BUENA,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,79440,0,Alto,0,93,0,55,Renta,Posgrado
500,GANTE,6000,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,62870,0,Alto,0,95,0,55,Familiares,Posgrado
7588,CAMPESTRE CHURUBUSCO,4410,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,59120,0,Alto,0,123,0,55,Renta,Posgrado
76,FERROCARRIL HIDALGO,7000,Gustavo A. Madero,Aprobada,Aprobado,BUENO,49999,24500,0.51,60735,34000,Mínimo,0.49,231,0,55,Renta,Posgrado
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Rechazada,Rechazado,MALO,0,,,78052,0,Alto,0,98,0,56,Renta,Licenciatura
65,COPILCO UNIVERSIDAD,4360,Coyoacan,Rechazada,Rechazado,MALO,0,,,88739,0,Alto,0,99,0,56,Familiares,Preparatoria
7588,CAMPESTRE CHURUBUSCO,4410,Coyoacan,Rechazada,Rechazado,MALO,0,,,79898,0,Alto,0,99,0,56,Hipoteca,Licenciatura
7998,BOX SELECT ALAMEDA,6040,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,60835,0,Alto,0,99,0,56,Propia,Licenciatura
7569,CORNER SELECT SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Aprobada,Aprobado,REGULAR,6000,1680,0.72,86792,0,Mínimo,0.28,164,0,56,Renta,Preparatoria
479,SAN FERNANDO,14050,Tlalpan,Aprobada,Aprobado,BUENO,77000,31570,0.59,86252,0,Mínimo,0.41,252,64142,56,Hipoteca,Posgrado
5751,CERRO DE LA ESTRELLA,9360,Iztapalapa,Rechazada,Rechazado,MALO,0,,,78583,0,Alto,0,89,0,57,Propia,Preparatoria
7790,PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,93109,0,Alto,0,95,0,57,Familiares,Preparatoria
7588,CAMPESTRE CHURUBUSCO,4410,Coyoacan,Rechazada,Rechazado,MALO,0,,,83242,0,Alto,0,96,0,57,Hipoteca,Posgrado
7772,PABELLON CUEMANCO,14336,Tlalpan,Pendiente,Pre-Aprobado,MALO,1,,,66446,0,Alto,0,123,0,57,Renta,Preparatoria
7571,CORNER SELECT PLAZA UNIVERSIDAD,3340,Benito Juarez,Aprobada,Aprobado,REGULAR,5000,1200,0.76,65572,0,Mínimo,0.24,183,0,57,Propia,Preparatoria
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Aprobada,Aprobado,BUENO,152000,123120,0.19,93904,18500,Bajo,0.81,210,0,57,Renta,Preparatoria
11,POLANCO,11560,Miguel Hidalgo,Aprobada,Aprobado,BUENO,39999,17600,0.56,97970,24000,Mínimo,0.44,213,18938,57,Familiares,Posgrado
7588,CAMPESTRE CHURUBUSCO,4410,Coyoacan,Rechazada,Rechazado,MALO,0,,,69628,0,Alto,0,89,0,58,Renta,Posgrado
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,98352,0,Alto,0,98,0,58,Hipoteca,Licenciatura
479,SAN FERNANDO,14050,Tlalpan,Rechazada,Rechazado,MALO,0,,,95949,0,Alto,0,100,0,58,Propia,Posgrado
228,ROJO GOMEZ,9300,Iztapalapa,Rechazada,Rechazado,MALO,0,,,102431,0,Alto,0,101,0,58,Familiares,Preparatoria
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,Cancelada,Rechazado,MALO,0,,,87867,0,Alto,0,101,0,58,Hipoteca,Licenciatura
16,PORTAL SAN ANGEL,1040,Alvaro Obregon,Aprobada,Aprobado,BUENO,149000,143040,0.04,102703,0,Bajo,0.96,237,53364,58,Hipoteca,Licenciatura
41,REFORMA DIANA,6600,Cuauhtemoc,Aprobada,Aprobado,BUENO,1999,1279,0.36,97387,0,Bajo,0.64,242,0,58,Propia,Posgrado
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Aprobada,Aprobado,REGULAR,61000,73200,-0.2,100600,61000,Alto,1.2,250,0,58,Familiares,Posgrado
400,PALMAS CORINTO,11000,Miguel Hidalgo,Aprobada,Aprobado,BUENO,10399,4368,0.58,79432,14000,Mínimo,0.42,251,0,58,Hipoteca,Posgrado
223,LAGO ALBERTO,11320,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,91649,0,Alto,0,92,0,59,Familiares,Preparatoria
7796,AEROPUERTO T2,15620,Venustiano Carranza,Rechazada,Rechazado,MALO,0,,,103447,0,Alto,0,92,0,59,Familiares,Preparatoria
7571,CORNER SELECT PLAZA UNIVERSIDAD,3340,Benito Juarez,Rechazada,Rechazado,MALO,0,,,89865,0,Alto,0,93,0,59,Renta,Posgrado
